Country,Date,ConfirmedCases,ConfirmedDeath,School Closing,Workplace closing,Cancel public events,Close public transport,Public information campaigns,Restrictions on internal movement,International travel controls,Fiscal measures,Monetary measures,Emergency investment in health care,Investment in Vaccines,Testing framework,Contact tracing
Saudi Arabia,01-04-20,1563,10,2,2,2,2,1,2,3,0,0.75,139540000,0,2,1
Saudi Arabia,02-04-20,1720,16,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,03-04-20,1885,21,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,04-04-20,1885,21,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,05-04-20,2179,29,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,06-04-20,2385,34,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,07-04-20,2523,38,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,08-04-20,2795,41,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,09-04-20,2932,41,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,10-04-20,3287,44,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,11-04-20,3651,47,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,12-04-20,4033,52,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,13-04-20,4462,59,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,14-04-20,4934,65,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,15-04-20,5369,73,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,16-04-20,5862,79,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,17-04-20,6380,83,,,,,,,,,,,,,
Saudi Arabia,18-04-20,7142,87,,,,,,,,,,,,,
United Arab Emirates,01-03-20,21,0,2,1,0,0,0,0,3,0,1.5,,,0,
United Arab Emirates,02-03-20,21,0,2,1,0,0,0,0,3,0,1.5,,,0,
United Arab Emirates,03-03-20,,0,2,1,0,0,0,0,3,0,1.5,,,0,
United Arab Emirates,04-03-20,27,0,2,1,0,0,0,0,3,0,1,,,0,
United Arab Emirates,05-03-20,,0,2,1,0,0,0,0,2,0,1,,,0,
United Arab Emirates,06-03-20,29,0,2,1,0,0,0,0,2,0,1,,,0,
United Arab Emirates,07-03-20,,0,2,1,0,0,0,0,2,0,1,,,0,
United Arab Emirates,08-03-20,45,0,2,1,0,0,0,0,2,0,1,,,0,
United Arab Emirates,09-03-20,,0,2,1,0,0,0,0,2,0,1,,,0,
United Arab Emirates,10-03-20,59,0,2,1,0,0,0,0,2,0,1,,,1,
United Arab Emirates,11-03-20,74,0,2,1,0,0,0,0,2,0,1,,,1,
United Arab Emirates,12-03-20,,0,2,1,0,0,0,0,2,480000000,1,,,1,
United Arab Emirates,13-03-20,85,0,2,1,0,0,1,0,2,0,1,,,1,
United Arab Emirates,14-03-20,,0,2,1,0,0,1,0,2,27000000000,1,,,1,
United Arab Emirates,15-03-20,85,0,2,1,1,0,,0,2,0,1,,,1,
United Arab Emirates,16-03-20,86,0,2,1,2,0,1,0,2,0,0.25,,,1,
United Arab Emirates,17-03-20,98,0,2,1,2,0,1,0,3,0,0.25,,,1,
United Arab Emirates,18-03-20,113,0,2,1,2,0,1,0,3,0,0.25,,,1,
United Arab Emirates,19-03-20,113,0,2,1,2,0,1,0,3,0,0.25,,,1,
United Arab Emirates,20-03-20,140,0,2,1,2,0,1,0,3,0,0.25,,,1,
United Arab Emirates,21-03-20,140,0,2,1,2,0,1,0,3,0,0.25,,,1,
United Arab Emirates,22-03-20,153,2,2,1,2,0,1,0,3,0,0.25,,,1,
United Arab Emirates,23-03-20,153,2,2,1,2,0,1,1,3,0,0.25,,,1,2
United Arab Emirates,24-03-20,198,2,2,1,2,0,1,1,3,0,0.25,,,1,2
United Arab Emirates,25-03-20,248,2,2,2,2,0,1,1,3,0,0.25,,,1,2
